productId,skuId,name,brand,top,category,bracket,price
100000048,100000048,Jogo Cilada Estrela Tabuleiro Estrela,Estrela,JOGOS,JOGOS CLASSICOS,unknown,49.49
1003106319,1002975598,Jogo de Anatomia - Operando - A partir de 01 Jogador - Hasbro,HASBRO,JOGOS,JOGOS EDUCATIVOS,6-8,199.99
1003261234,1003147426,Capacete em Miniatura - 1987 Ayrton Senna - Formula 1 - 3cm - 1/10 - Minichamps,Minichamps,COLECIONAVEIS,MONTAGEM E MODELISMO,unknown,214.9
1003178562,1003056186,Fantasia - A Casa Magica Da Gabby - Novabrink - Tam M,Novabrink,FANTASIAS,FANTASIA INFANTIL,6-8,159.9
100172129,100172847,Mini Sabre de Luz e Figura Surpresa - Disney - Star Wars - Micro Force - Hasbro,Hasbro,FANTASIAS,SABRE DE LUZ,unknown,49.97
1003300326,1003194231,Máscara Halloween It A Coisa Palhaço Assasino 3D Realista de Luxo com Cabelo pra Fantasia de Terror,Fantasias Carol,FANTASIAS,MASCARAS,unknown,46.9
1002032546,100412540,Bicicleta Aro 12 - Arco Íris Vermelho e Azul - TK3 Track,TRACKBIKES,ESPORTES,BICICLETAS,0-2,349.99
1003177704,1003055271,Skatenet - Princesas - Bandeirante,Bandeirante,ESPORTES,SKATES,0-2,399.99
1003105815,1002975096,Skatenet - Led Pro - Dobravel - Rosa - Bandeirante,Bandeirante,ESPORTES,PATINETES,0-2,599.99
1001974796,100366877,Patins Ajustável com Acessórios - Patrulha Canina - 29 a 32 - Fun,Fun,ESPORTES,PATINS,6-8,429.99
1003298070,1003191926,Jogo de Bola Bola Maluca Que Salta e Muda de Direção para Brincar Sozinho Ou em Grupo Ark Brasil,ARK BRASIL,ESPORTES,BOLAS,unknown,47.99
1001813401,100223887,Brinquedo Clássico - Pogobol - Roxo e Verde - Estrela,Estrela,ESPORTES,BRINCADEIRAS AO AR LIVRE,6-8,192.89
1003301032,1003194982,Piscina Inflável Playground Infantil Castelo Unicórnio 234L Intex,Intex,ESPORTES,PRAIA E PISCINA,unknown,479.99
1003301504,1003195516,A Era do Gelo Scrats Nutty Adventure PS4 Midia Fisica,Playstation,TECNOLOGIA,JOGOS DE VIDEO-GAME,unknown,169.97
1003300105,1003194005,Vídeo Game Sitck 8K +10.000 Jogos 2 Controles 2.4g Wireless,Inova,TECNOLOGIA,CONTROLES,unknown,299.99
1003268168,1003154942,Livro Magnético Infantil - Histórias Magnéticas - A Festa Dos Animais - Janod,Maped,LIVROS E PAPELARIA,LIVROS,0-2,89.99
1003298574,1003192438,TOY STORY 5 - Álbum Capa Cartão + 12 Envelopes,PANINI,LIVROS E PAPELARIA,ALBUM DE FIGURINHAS,unknown,71.91
1003177367,1003054899,Mochila - Pokemon - Squirtle - Bbr Toys,BBR TOYS,LIVROS E PAPELARIA,MOCHILAS,0-2,271.99
1003252563,1003137061,LEGO - Spidey - Spidey Em Sua Motocicleta Vs. Rhino - 11206,LEGO,BRINQUEDOS,BLOCOS DE MONTAR,3-5,83.99
1003090691,1002959277,Boneca Bebê com Acessórios - Baby Alive - Festa do Chá Borbulhante - Hasbro,HASBRO,BONECOS E BONECAS,BONECAS,3-5,207.99
100131164,100130976,Xilofone para Bebês - Fisher-Price - Colorido,Fisher-Price,BABY,BRINQUEDOS PARA BEBES,0-2,73.99
